# Outlet domain -> newsroom home, rebuilt from public sources (e53 condition 2).
#
# Independent of the curated table in tools/outlet_home_table.py: two research
# passes were given ONLY the list of 120 domain strings -- never the curated
# answers -- and told to resolve each against Wikipedia, the Library of
# Congress newspaper catalogue, archive.org snapshots of the outlet's own
# contact page, FCC/station records and media directories, and to return
# UNKNOWN rather than guess. Every row carries the URL it came from.
#
# place = city of publication, a region when the outlet is explicitly regional,
# or NONE for an outlet with no home market (wire services, national
# broadcasters). A row with a place gets a point-level home; NONE gets a
# country-level home. That differs from the curated table's convention, under
# which a national newspaper with a real head office (Haaretz, the Irish
# Independent) was given only its country -- the researchers found the city and
# it is recorded here, which is one of the disagreements the report quantifies.
#
# domain	place	admin1	iso3	scope	confidence	source
ajc.com	Atlanta	Georgia	USA	local	high	https://en.wikipedia.org/wiki/The_Atlanta_Journal-Constitution
alextimes.com	Alexandria	Virginia	USA	local	high	https://en.wikipedia.org/wiki/Alexandria_Times
alligator.org	Gainesville	Florida	USA	local	high	https://en.wikipedia.org/wiki/The_Independent_Florida_Alligator
amarillo.com	Amarillo	Texas	USA	local	high	https://en.wikipedia.org/wiki/Amarillo_Globe-News
athensreview.com	Athens	Texas	USA	local	high	https://en.wikipedia.org/wiki/Athens_Daily_Review
bclocalnews.com	British Columbia	British Columbia	CAN	local	medium	https://en.wikipedia.org/wiki/Black_Press
bnonews.com	NONE		NLD	national	high	https://en.wikipedia.org/wiki/BNO_News
brantnews.com	Brantford	Ontario	CAN	local	medium	https://directory.brantford.ca/Home/View/brant-news-ltd
cambridge-news.co.uk	Cambridge	England	GBR	local	high	https://en.wikipedia.org/wiki/Cambridge_News
chronicle.augusta.com	Augusta	Georgia	USA	local	high	https://en.wikipedia.org/wiki/The_Augusta_Chronicle
civil.ge	Tbilisi	T'bilisi	GEO	national	high	https://www.una.ge/civil_ge
columbiadailyherald.com	Columbia	Tennessee	USA	local	high	https://en.wikipedia.org/wiki/The_Daily_Herald_(Columbia,_Tennessee)
columbuslocalnews.com	Columbus	Ohio	USA	local	high	http://web.archive.org/web/20110303171202/http://columbuslocalnews.com/
columbustelegram.com	Columbus	Nebraska	USA	local	high	https://en.wikipedia.org/wiki/Columbus_Telegram
concordmonitor.com	Concord	New Hampshire	USA	local	high	https://en.wikipedia.org/wiki/Concord_Monitor
courant.com	Hartford	Connecticut	USA	local	high	https://en.wikipedia.org/wiki/Hartford_Courant
daily-chronicle.com	DeKalb	Illinois	USA	local	high	http://web.archive.org/web/20110601000000/http://www.daily-chronicle.com/
daily-jeff.com	Cambridge	Ohio	USA	local	high	https://en.wikipedia.org/wiki/The_Daily_Jeffersonian
dailyherald.com	Arlington Heights	Illinois	USA	local	high	http://web.archive.org/web/20110601000000/http://www.dailyherald.com/
dailymail.com	Charleston	West Virginia	USA	local	high	http://web.archive.org/web/20110601000000/http://www.dailymail.com/
dailynews.com	Los Angeles	California	USA	local	high	https://en.wikipedia.org/wiki/Los_Angeles_Daily_News
dailypostathenian.com	Athens	Tennessee	USA	local	high	https://en.wikipedia.org/wiki/The_Daily_Post_Athenian
dailystar.com.lb	Beirut	Beyrouth	LBN	national	high	https://en.wikipedia.org/wiki/The_Daily_Star_(Lebanon)
dailytribune.net	Mount Pleasant	Texas	USA	local	high	http://web.archive.org/web/20110603105310/http://www.dailytribune.net/contact_us/
dallasnews.com	Dallas	Texas	USA	local	high	https://en.wikipedia.org/wiki/The_Dallas_Morning_News
dispatch.com	Columbus	Ohio	USA	local	high	https://en.wikipedia.org/wiki/The_Columbus_Dispatch
echopress.com	Alexandria	Minnesota	USA	local	high	https://www.echopress.com/contact-us
edmontonjournal.com	Edmonton	Alberta	CAN	local	high	https://en.wikipedia.org/wiki/Edmonton_Journal
engineeringnews.co.za	Johannesburg	Gauteng	ZAF	national	high	https://www.creamermedia.co.za/page/contact-details
eparisextra.com	Paris	Texas	USA	local	high	https://www.thepaperboy.com/newspaper.cfm?PaperID=2146115053
gainesville.com	Gainesville	Florida	USA	local	high	https://en.wikipedia.org/wiki/The_Gainesville_Sun
gainesvilleregister.com	Gainesville	Texas	USA	local	high	https://en.wikipedia.org/wiki/Gainesville_Daily_Register
gainesvilletimes.com	Gainesville	Georgia	USA	local	high	https://en.wikipedia.org/wiki/The_Gainesville_Times_(Georgia)
gazette.com	Colorado Springs	Colorado	USA	local	high	https://en.wikipedia.org/wiki/The_Gazette_(Colorado_Springs)
globalnews.ca	NONE		CAN	national	high	https://en.wikipedia.org/wiki/Global_News
goldentrianglenewspapers.com	Mount Pleasant	Iowa	USA	local	medium	https://web.archive.org/web/20110305050058/http://goldentrianglenewspapers.com/
haaretz.com	Tel Aviv	Tel Aviv	ISR	national	high	https://en.wikipedia.org/wiki/Haaretz
heraldonline.com	Rock Hill	South Carolina	USA	local	high	https://en.wikipedia.org/wiki/The_Herald_(Rock_Hill)
independent.ie	Dublin	Leinster	IRL	national	high	https://en.wikipedia.org/wiki/Irish_Independent
insidebayarea.com	Oakland	California	USA	local	medium	https://en.wikipedia.org/wiki/Oakland_Tribune
itemonline.com	Huntsville	Texas	USA	local	high	https://en.wikipedia.org/wiki/The_Huntsville_Item
jordannews.com	Jordan	Minnesota	USA	local	high	https://www.loc.gov/item/sn90057682/
jpost.com	Jerusalem	Jerusalem	ISR	national	high	https://en.wikipedia.org/wiki/The_Jerusalem_Post
kansascity.com	Kansas City	Missouri	USA	local	high	https://en.wikipedia.org/wiki/The_Kansas_City_Star
